text,intent,card_type,account_type,loan_type,amount,account_number,date,day,response
I want to know the interest rate for a student loan,get_interest_rate,,,student loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to transfer money to a friend's account,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I get a car loan?,apply_loan,,,car loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance on 01-01-2025,check_balance,,,,,,01-01-2025,,"Your current account balance is ₹25,000."
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I need to report a lost debit card,lost_card,debit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to apply for a new credit card,apply_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to send money to account AC1234567,transfer_money,,,,,AC1234567,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
What's the interest rate on a mortgage loan?,get_interest_rate,,,mortgage loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What's the process for getting a gold loan?,apply_loan,,,gold loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account number,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer 5000 rupees to account 12345678,transfer_money,,,,5000 rupees,12345678,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have a question about my account,greeting_hi,,,,,,,,This is a default reply for intent 'greeting_hi'. (Please customize me!)
I need to close my account,close_account,,,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I want to know the interest rate for a property loan,get_interest_rate,,,property loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my credit card,lost_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to apply for a personal loan,apply_loan,,,personal loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to apply for a new visa card,apply_card,visa card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to transfer money to a friend,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
How can I open a new account?,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I need to transfer 10000 rupees from my savings,transfer_money,,savings,,10000,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I'd like to get a home loan,apply_loan,,,home loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to report a lost card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I'm looking to get a loan,apply_loan,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance for yesterday,check_balance,,,,,,,yesterday,"Your current account balance is ₹25,000."
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to close my current account,close_account,,current,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I have lost my card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What is the interest rate for a car loan?,get_interest_rate,,,car loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to transfer 2000 from my savings account to checking,transfer_money,,savings,checking,,2000,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I check my balance?,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to open a new account,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I want to know about my savings account,account_info,,savings,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know the interest rate for a student loan,get_interest_rate,,,student loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to transfer money to a friend's account,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I get a car loan?,apply_loan,,,car loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance on 01-01-2025,check_balance,,,,,,01-01-2025,,"Your current account balance is ₹25,000."
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I need to report a lost debit card,lost_card,debit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to apply for a new credit card,apply_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to send money to account AC1234567,transfer_money,,,,,AC1234567,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
What's the interest rate on a mortgage loan?,get_interest_rate,,,mortgage loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What's the process for getting a gold loan?,apply_loan,,,gold loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account number,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer 5000 rupees to account 12345678,transfer_money,,,,5000 rupees,12345678,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have a question about my account,greeting_hi,,,,,,,,This is a default reply for intent 'greeting_hi'. (Please customize me!)
I need to close my account,close_account,,,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I want to know the interest rate for a property loan,get_interest_rate,,,property loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my credit card,lost_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to apply for a personal loan,apply_loan,,,personal loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to apply for a new visa card,apply_card,visa card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to transfer money to a friend,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
How can I open a new account?,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I need to transfer 10000 rupees from my savings,transfer_money,,savings,,10000,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I'd like to get a home loan,apply_loan,,,home loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to report a lost card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I'm looking to get a loan,apply_loan,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance for yesterday,check_balance,,,,,,,yesterday,"Your current account balance is ₹25,000."
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to close my current account,close_account,,current,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I have lost my card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What is the interest rate for a car loan?,get_interest_rate,,,car loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to transfer 2000 from my savings account to checking,transfer_money,,savings,checking,,2000,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I check my balance?,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to open a new account,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I want to know about my savings account,account_info,,savings,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know the interest rate for a student loan,get_interest_rate,,,student loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to transfer money to a friend's account,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I get a car loan?,apply_loan,,,car loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance on 01-01-2025,check_balance,,,,,,01-01-2025,,"Your current account balance is ₹25,000."
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I need to report a lost debit card,lost_card,debit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to apply for a new credit card,apply_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to send money to account AC1234567,transfer_money,,,,,AC1234567,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
What's the interest rate on a mortgage loan?,get_interest_rate,,,mortgage loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What's the process for getting a gold loan?,apply_loan,,,gold loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account number,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer 5000 rupees to account 12345678,transfer_money,,,,5000 rupees,12345678,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have a question about my account,greeting_hi,,,,,,,,This is a default reply for intent 'greeting_hi'. (Please customize me!)
I need to close my account,close_account,,,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I want to know the interest rate for a property loan,get_interest_rate,,,property loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my credit card,lost_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to apply for a personal loan,apply_loan,,,personal loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to apply for a new visa card,apply_card,visa card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to transfer money to a friend,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
How can I open a new account?,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I need to transfer 10000 rupees from my savings,transfer_money,,savings,,10000,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I'd like to get a home loan,apply_loan,,,home loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to report a lost card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I'm looking to get a loan,apply_loan,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance for yesterday,check_balance,,,,,,,yesterday,"Your current account balance is ₹25,000."
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to close my current account,close_account,,current,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I have lost my card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What is the interest rate for a car loan?,get_interest_rate,,,car loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to transfer 2000 from my savings account to checking,transfer_money,,savings,checking,,2000,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I check my balance?,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to open a new account,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I want to know about my savings account,account_info,,savings,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know the interest rate for a student loan,get_interest_rate,,,student loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to transfer money to a friend's account,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I get a car loan?,apply_loan,,,car loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance on 01-01-2025,check_balance,,,,,,01-01-2025,,"Your current account balance is ₹25,000."
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I need to report a lost debit card,lost_card,debit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to apply for a new credit card,apply_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to send money to account AC1234567,transfer_money,,,,,AC1234567,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
What's the interest rate on a mortgage loan?,get_interest_rate,,,mortgage loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What's the process for getting a gold loan?,apply_loan,,,gold loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account number,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer 5000 rupees to account 12345678,transfer_money,,,,5000 rupees,12345678,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have a question about my account,greeting_hi,,,,,,,,This is a default reply for intent 'greeting_hi'. (Please customize me!)
I need to close my account,close_account,,,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I want to know the interest rate for a property loan,get_interest_rate,,,property loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my credit card,lost_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to apply for a personal loan,apply_loan,,,personal loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to apply for a new visa card,apply_card,visa card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to transfer money to a friend,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
How can I open a new account?,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I need to transfer 10000 rupees from my savings,transfer_money,,savings,,10000,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I'd like to get a home loan,apply_loan,,,home loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to report a lost card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I'm looking to get a loan,apply_loan,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance for yesterday,check_balance,,,,,,,yesterday,"Your current account balance is ₹25,000."
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to close my current account,close_account,,current,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I have lost my card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What is the interest rate for a car loan?,get_interest_rate,,,car loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to transfer 2000 from my savings account to checking,transfer_money,,savings,checking,,2000,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I check my balance?,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to open a new account,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I want to know about my savings account,account_info,,savings,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know the interest rate for a student loan,get_interest_rate,,,student loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to transfer money to a friend's account,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I get a car loan?,apply_loan,,,car loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance on 01-01-2025,check_balance,,,,,,01-01-2025,,"Your current account balance is ₹25,000."
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I need to report a lost debit card,lost_card,debit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to apply for a new credit card,apply_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to send money to account AC1234567,transfer_money,,,,,AC1234567,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
What's the interest rate on a mortgage loan?,get_interest_rate,,,mortgage loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What's the process for getting a gold loan?,apply_loan,,,gold loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account number,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer 5000 rupees to account 12345678,transfer_money,,,,5000 rupees,12345678,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have a question about my account,greeting_hi,,,,,,,,This is a default reply for intent 'greeting_hi'. (Please customize me!)
I need to close my account,close_account,,,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I want to know the interest rate for a property loan,get_interest_rate,,,property loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I have lost my credit card,lost_card,credit card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to apply for a personal loan,apply_loan,,,personal loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to apply for a new visa card,apply_card,visa card,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to transfer money to a friend,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
How can I open a new account?,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I need to transfer 10000 rupees from my savings,transfer_money,,savings,,10000,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I'd like to get a home loan,apply_loan,,,home loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to report a lost card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I'm looking to get a loan,apply_loan,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance for yesterday,check_balance,,,,,,,yesterday,"Your current account balance is ₹25,000."
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to check my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I want to close my current account,close_account,,current,,,,,,"To close your account, please confirm the account number and reason. We will guide you with next steps."
I have lost my card,lost_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
What is the interest rate for a car loan?,get_interest_rate,,,car loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to transfer 2000 from my savings account to checking,transfer_money,,savings,checking,,2000,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I want to know my account details,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I check my balance?,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to open a new account,create_account,,,,,,,,"You can open a new account online in minutes. I can guide you through the documents required (ID proof, address proof)."
I want to know about my savings account,account_info,,savings,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I need to apply for a new card,apply_card,,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know the interest rate for a student loan,get_interest_rate,,,student loan,,,,,Loan interest rates depend on loan type and your profile. Which loan are you asking about (personal/home/business)?
I need to know my balance,check_balance,,,,,,,,"Your current account balance is ₹25,000."
I need to transfer money to a friend's account,transfer_money,,,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
I have lost my mastercard,lost_card,mastercard,,,,,,,If your card is lost or stolen we can block it immediately. Please confirm the last 4 digits of the card.
I want to know about my account,account_info,,,,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
How can I get a car loan?,apply_loan,,,car loan,,,,,"We offer personal, home, car and business loans. Rates depend on loan type — which one do you want details for?"
I want to check my account balance on 01-01-2025,check_balance,,,,,,01-01-2025,,"Your current account balance is ₹25,000."
I need to find a branch,get_branch_details,,,,,,,,You can locate branches using our branch locator on the website or app. Want me to find the nearest one?
I want to transfer funds from my current account,transfer_money,,current,,,,,,Your transfer request has been initiated successfully. Please confirm the amount and recipient.
